AK 907 Alaska
AL 205 Alabama
AR 501 Arkansas
AZ 602 Arizona
CA 209 California
CA 213 California
CA 310 California
CA 408 California
CA 415 California
CA 510 California
CA 619 California
CA 707 California
CA 714 California
CA 805 California
CA 818 California
CA 916 California
CN 203 Connecticut
CO 303 Colorado
CO 719 Colorado
DC 202 Washington DC
DE 302 Delaware
FL 305 Florida
FL 407 Florida
FL 813 Florida
FL 904 Florida
GA 404 Georgia
GA 912 Georgia
HI 808 Hawaii
ID 208 Idaho
IL 217 Illinois
IL 309 Illinois
IL 312 Illinois
IL 618 Illinois
IL 708 Illinois
IL 815 Illinois
IN 219 Indiana
IN 317 Indiana
IN 812 Indiana
IO 319 Iowa
IO 515 Iowa
IO 712 Iowa
KS 316 Kansas
KS 913 Kansas
KY 502 Kentucky
KY 606 Kentucky
LA 318 Louisiana
LA 504 Louisiana
MA 413 Massachusetts
MA 508 Massachusetts
MA 617 Massachusetts
MD 301 Maryland
MD 410 Maryland
ME 207 Maine
MI 313 Michigan
MI 517 Michigan
MI 616 Michigan
MI 906 Michigan
MN 218 Minnesota
MN 406 Montana
MN 507 Minnesota
MN 612 Minnesota
MO 314 Missouri
MO 417 Missouri
MO 816 Missouri
MS 601 Mississippi
NB 308 Nebraska
NB 402 Nebraska
NC 704 North Carolina
NC 919 North Carolina
ND 701 North Dakota
NH 603 New Hampshire
NJ 201 New Jersey
NJ 609 New Jersey
NJ 908 New Jersey
NM 505 New Mexico
NV 702 Nevada
NY 212 New York
NY 315 New York
NY 516 New York
NY 518 New York
NY 607 New York
NY 716 New York
NY 718 New York
NY 914 New York
OH 216 Ohio
OH 419 Ohio
OH 513 Ohio
OH 614 Ohio
OK 405 Oklahoma
OK 918 Oklahoma
OR 503 Oregon
PA 215 Pennsylvania
PA 412 Pennsylvania
PA 717 Pennsylvania
PA 814 Pennsylvania
PR 809 Islands
RI 401 Rhode Island
SC 803 South Carolina
SD 605 South Dakota
TN 615 Tennessee
TN 901 Tennessee
TX 214 Texas
TX 409 Texas
TX 512 Texas
TX 713 Texas
TX 806 Texas
TX 817 Texas
TX 903 Texas
TX 915 Texas
UT 801 Utah
VA 703 Virginia
VA 804 Virginia
VT 802 Vermont
WA 206 Washington
WA 509 Washington
WI 414 Wisconsin
WI 608 Wisconsin
WI 715 Wisconsin
WV 304 West Virginia
WY 307 Wyoming
.. 204 Manitoba
.. 306 Saskatchewan
.. 403 Northwest Territories
.. 416 Ontario
.. 519 Ontario
.. 613 Ontario
.. 705 Ontario
.. 807 Ontario
.. 418 Quebec
.. 514 Quebec
.. 819 Quebec
.. 506 New Brunswick
.. 604 British Columbia
.. 709 Newfoundland
.. 902 Prince Edward Island
